==================================================
MICRO-515 Challenge 1a - Evaluation Results
==================================================

Controller type : NeuralNetworkController
Checkpoint      : results/20260319_112139_neural_controller_ckpts/299
Environment     : Ant-v5 (no contact forces)
Episodes        : 256

--------------------------------------------------
Per-episode rewards:
  Episode   1:   -2905.76
  Episode   2:   -2849.34
  Episode   3:   -2891.63
  Episode   4:   -3027.75
  Episode   5:   -2962.26
  Episode   6:   -2991.50
  Episode   7:   -3100.80
  Episode   8:   -2849.84
  Episode   9:   -2900.44
  Episode  10:   -2785.48
  Episode  11:   -3025.60
  Episode  12:   -2858.87
  Episode  13:   -2859.21
  Episode  14:   -2871.81
  Episode  15:   -2842.78
  Episode  16:   -2987.72
  Episode  17:   -2760.30
  Episode  18:   -2712.34
  Episode  19:     -62.27
  Episode  20:   -2810.14
  Episode  21:   -2878.46
  Episode  22:   -2914.18
  Episode  23:   -3110.37
  Episode  24:   -2821.53
  Episode  25:   -3035.84
  Episode  26:   -3132.48
  Episode  27:     -46.74
  Episode  28:   -2907.03
  Episode  29:   -2831.30
  Episode  30:   -3191.24
  Episode  31:   -3057.34
  Episode  32:   -3037.92
  Episode  33:   -2911.74
  Episode  34:     -53.18
  Episode  35:   -2919.58
  Episode  36:     -68.15
  Episode  37:    -298.74
  Episode  38:   -2970.33
  Episode  39:     -68.20
  Episode  40:   -3027.50
  Episode  41:    -256.98
  Episode  42:   -2927.38
  Episode  43:   -2936.10
  Episode  44:    -196.83
  Episode  45:   -3001.70
  Episode  46:   -2866.18
  Episode  47:     -81.04
  Episode  48:   -2693.00
  Episode  49:     -56.07
  Episode  50:   -3007.68
  Episode  51:   -2881.05
  Episode  52:     -33.42
  Episode  53:   -2940.06
  Episode  54:   -2643.93
  Episode  55:   -2870.31
  Episode  56:   -3001.84
  Episode  57:     -32.32
  Episode  58:   -2983.05
  Episode  59:   -2740.58
  Episode  60:   -2827.46
  Episode  61:   -2709.10
  Episode  62:   -2701.45
  Episode  63:   -2357.32
  Episode  64:   -2938.65
  Episode  65:   -2805.60
  Episode  66:   -2791.45
  Episode  67:   -2877.18
  Episode  68:   -2954.50
  Episode  69:   -3026.87
  Episode  70:   -2919.70
  Episode  71:   -3017.56
  Episode  72:   -2871.21
  Episode  73:   -2806.10
  Episode  74:     -59.25
  Episode  75:   -3107.97
  Episode  76:     -39.06
  Episode  77:    -110.92
  Episode  78:   -2975.03
  Episode  79:   -2869.84
  Episode  80:   -2905.58
  Episode  81:    -222.66
  Episode  82:   -2759.49
  Episode  83:   -2809.72
  Episode  84:     -57.98
  Episode  85:   -3040.31
  Episode  86:   -2889.88
  Episode  87:   -3036.11
  Episode  88:   -2697.60
  Episode  89:   -3016.59
  Episode  90:   -3075.33
  Episode  91:    -593.49
  Episode  92:   -2762.80
  Episode  93:   -2684.00
  Episode  94:     -72.40
  Episode  95:   -2791.76
  Episode  96:   -2977.98
  Episode  97:   -2811.17
  Episode  98:   -2998.06
  Episode  99:    -257.94
  Episode 100:     -54.11
  Episode 101:   -2984.95
  Episode 102:   -3005.10
  Episode 103:   -2812.36
  Episode 104:    -120.73
  Episode 105:   -2885.03
  Episode 106:    -103.45
  Episode 107:   -3019.10
  Episode 108:     -53.68
  Episode 109:   -2924.70
  Episode 110:   -2999.15
  Episode 111:   -3125.88
  Episode 112:    -276.19
  Episode 113:   -2928.14
  Episode 114:   -2272.23
  Episode 115:   -2936.91
  Episode 116:   -2796.05
  Episode 117:   -2775.37
  Episode 118:   -2922.02
  Episode 119:   -2875.31
  Episode 120:    -111.07
  Episode 121:   -3005.66
  Episode 122:   -2748.19
  Episode 123:   -1908.71
  Episode 124:   -2941.89
  Episode 125:     -79.63
  Episode 126:   -2973.62
  Episode 127:   -2972.68
  Episode 128:   -3007.72
  Episode 129:   -3123.84
  Episode 130:   -3110.33
  Episode 131:    -104.61
  Episode 132:   -2929.68
  Episode 133:   -3002.29
  Episode 134:   -2843.39
  Episode 135:   -2966.78
  Episode 136:   -2929.49
  Episode 137:   -3018.61
  Episode 138:   -3100.80
  Episode 139:   -3050.59
  Episode 140:   -3122.18
  Episode 141:    -652.43
  Episode 142:   -2699.77
  Episode 143:   -2905.77
  Episode 144:   -3085.82
  Episode 145:   -2989.89
  Episode 146:   -2873.98
  Episode 147:   -2986.83
  Episode 148:     -29.31
  Episode 149:   -2885.45
  Episode 150:   -3092.34
  Episode 151:   -3042.76
  Episode 152:   -2941.51
  Episode 153:   -2131.36
  Episode 154:   -2924.60
  Episode 155:   -2960.00
  Episode 156:     -39.94
  Episode 157:     -36.28
  Episode 158:   -3010.42
  Episode 159:   -2901.09
  Episode 160:     -70.57
  Episode 161:   -2814.45
  Episode 162:   -3097.20
  Episode 163:   -3059.81
  Episode 164:     -90.29
  Episode 165:   -3017.43
  Episode 166:   -3061.69
  Episode 167:   -2920.52
  Episode 168:   -3089.13
  Episode 169:   -2936.65
  Episode 170:   -3012.95
  Episode 171:   -2908.94
  Episode 172:   -2783.62
  Episode 173:   -2884.52
  Episode 174:   -2756.05
  Episode 175:    -115.64
  Episode 176:   -2631.35
  Episode 177:   -2760.43
  Episode 178:   -2868.97
  Episode 179:   -2945.22
  Episode 180:   -2694.28
  Episode 181:   -2962.52
  Episode 182:   -3009.32
  Episode 183:   -3118.15
  Episode 184:   -3046.25
  Episode 185:   -2149.94
  Episode 186:   -2769.23
  Episode 187:     -44.67
  Episode 188:   -3286.55
  Episode 189:   -2957.30
  Episode 190:    -362.42
  Episode 191:   -2899.49
  Episode 192:   -2768.52
  Episode 193:   -2930.56
  Episode 194:     -65.83
  Episode 195:   -3211.34
  Episode 196:   -2887.20
  Episode 197:   -2894.18
  Episode 198:   -3018.23
  Episode 199:     -33.08
  Episode 200:   -3081.81
  Episode 201:   -2802.71
  Episode 202:   -3027.01
  Episode 203:   -2870.59
  Episode 204:   -2865.96
  Episode 205:     -45.82
  Episode 206:   -2965.59
  Episode 207:   -2913.33
  Episode 208:    -373.60
  Episode 209:   -2769.19
  Episode 210:   -3054.01
  Episode 211:   -3020.49
  Episode 212:     -50.62
  Episode 213:     -83.30
  Episode 214:   -2931.01
  Episode 215:   -3020.79
  Episode 216:   -2969.92
  Episode 217:   -3044.20
  Episode 218:   -2903.09
  Episode 219:    -884.57
  Episode 220:   -2775.81
  Episode 221:   -2844.98
  Episode 222:   -2950.92
  Episode 223:   -2699.13
  Episode 224:     -35.28
  Episode 225:   -2878.13
  Episode 226:    -128.88
  Episode 227:   -3099.79
  Episode 228:   -2685.47
  Episode 229:    -104.29
  Episode 230:   -3012.01
  Episode 231:   -2961.00
  Episode 232:   -2741.41
  Episode 233:    -633.84
  Episode 234:   -2854.14
  Episode 235:   -3000.54
  Episode 236:    -122.19
  Episode 237:   -2955.38
  Episode 238:   -3010.08
  Episode 239:   -2845.81
  Episode 240:   -2836.46
  Episode 241:   -2832.02
  Episode 242:   -3062.41
  Episode 243:   -3094.10
  Episode 244:   -2685.69
  Episode 245:   -3037.19
  Episode 246:   -2925.48
  Episode 247:     -81.81
  Episode 248:   -2933.04
  Episode 249:   -2971.11
  Episode 250:   -2784.67
  Episode 251:   -2964.36
  Episode 252:   -2859.76
  Episode 253:   -2748.32
  Episode 254:   -3102.44
  Episode 255:   -3198.74
  Episode 256:   -2942.33
--------------------------------------------------

MEAN SCORE : -2370.46
STD        : 1105.87
MIN        : -3286.55
MAX        : -29.31

Video episode reward: -2889.00
